Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),403,"Onions, dry",1991,1991,1000 Int. $,341174,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),403,"Onions, dry",1992,1992,1000 Int. $,330007,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),403,"Onions, dry",1993,1993,1000 Int. $,318840,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),403,"Onions, dry",1994,1994,1000 Int. $,307673,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),403,"Onions, dry",1995,1995,1000 Int. $,296506,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),403,"Onions, dry",1996,1996,1000 Int. $,285339,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),403,"Onions, dry",1997,1997,1000 Int. $,274172,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),403,"Onions, dry",1998,1998,1000 Int. $,263005,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),403,"Onions, dry",1999,1999,1000 Int. $,251838,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),403,"Onions, dry",2000,2000,1000 Int. $,240671,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),403,"Onions, dry",2001,2001,1000 Int. $,229504,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),403,"Onions, dry",2002,2002,1000 Int. $,218337,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),403,"Onions, dry",2003,2003,1000 Int. $,207170,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),403,"Onions, dry",2004,2004,1000 Int. $,196003,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),403,"Onions, dry",2005,2005,1000 Int. $,184836,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),403,"Onions, dry",2006,2006,1000 Int. $,173669,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),403,"Onions, dry",2007,2007,1000 Int. $,162502,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),403,"Onions, dry",2008,2008,1000 Int. $,151335,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),403,"Onions, dry",2009,2009,1000 Int. $,140168,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),403,"Onions, dry",2010,2010,1000 Int. $,129001,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),403,"Onions, dry",2011,2011,1000 Int. $,117834,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),403,"Onions, dry",2012,2012,1000 Int. $,111502,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),403,"Onions, dry",2013,2013,1000 Int. $,95895,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),403,"Onions, dry",2014,2014,1000 Int. $,82383,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),403,"Onions, dry",2015,2015,1000 Int. $,82395,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),403,"Onions, dry",2016,2016,1000 Int. $,58990,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),403,"Onions, dry",2017,2017,1000 Int. $,88288,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),403,"Onions, dry",2018,2018,1000 Int. $,65026,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),403,"Onions, dry",2019,2019,1000 Int. $,146893,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,1961,1961,1000 Int. $,32535,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,1962,1962,1000 Int. $,28781,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,1963,1963,1000 Int. $,30533,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,1964,1964,1000 Int. $,32285,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,1965,1965,1000 Int. $,33036,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,1966,1966,1000 Int. $,34037,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,1967,1967,1000 Int. $,36790,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,1968,1968,1000 Int. $,37540,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,1969,1969,1000 Int. $,38541,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,1970,1970,1000 Int. $,36039,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,1971,1971,1000 Int. $,41795,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,1972,1972,1000 Int. $,39543,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,1973,1973,1000 Int. $,41294,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,1974,1974,1000 Int. $,45549,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,1975,1975,1000 Int. $,48677,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,1976,1976,1000 Int. $,88595,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,1977,1977,1000 Int. $,50054,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,1978,1978,1000 Int. $,62567,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,1979,1979,1000 Int. $,64319,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,1980,1980,1000 Int. $,66572,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,1981,1981,1000 Int. $,68323,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,1982,1982,1000 Int. $,68323,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,1983,1983,1000 Int. $,67072,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,1984,1984,1000 Int. $,65070,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,1985,1985,1000 Int. $,62067,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,1986,1986,1000 Int. $,59564,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,1987,1987,1000 Int. $,54308,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,1988,1988,1000 Int. $,54559,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,1989,1989,1000 Int. $,50805,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,1990,1990,1000 Int. $,56060,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,1991,1991,1000 Int. $,55810,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,1992,1992,1000 Int. $,56311,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,1993,1993,1000 Int. $,56811,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,1994,1994,1000 Int. $,57312,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,1995,1995,1000 Int. $,57812,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,1996,1996,1000 Int. $,58313,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,1997,1997,1000 Int. $,58813,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,1998,1998,1000 Int. $,58813,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,1999,1999,1000 Int. $,58813,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,2000,2000,1000 Int. $,58813,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,2001,2001,1000 Int. $,58813,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,2002,2002,1000 Int. $,57562,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,2003,2003,1000 Int. $,87594,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,2004,2004,1000 Int. $,75081,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,2005,2005,1000 Int. $,75081,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,2006,2006,1000 Int. $,75081,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,2007,2007,1000 Int. $,75281,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,2008,2008,1000 Int. $,70075,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,2009,2009,1000 Int. $,75681,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,2010,2010,1000 Int. $,61566,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,2011,2011,1000 Int. $,51305,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,2012,2012,1000 Int. $,57562,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,2013,2013,1000 Int. $,75827,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,2014,2014,1000 Int. $,85156,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,2015,2015,1000 Int. $,81965,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,2016,2016,1000 Int. $,107094,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,2017,2017,1000 Int. $,128437,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,2018,2018,1000 Int. $,154087,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,152,Gross Production Value (constant 2014-2016 thousand I$),116,Potatoes,2019,2019,1000 Int. $,230528,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,56,Gross Production Value (current thousand SLC),116,Potatoes,1991,1991,1000 SLC,624400,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,56,Gross Production Value (current thousand SLC),116,Potatoes,1992,1992,1000 SLC,630000,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,56,Gross Production Value (current thousand SLC),116,Potatoes,1993,1993,1000 SLC,635600,Fc,Calculated data
