Year,State,Metric,Age Range,"Events per 1,000 women"
1988,AL,Abortion Rate,15-17,24
1992,AL,Abortion Rate,15-17,19.1
1996,AL,Abortion Rate,15-17,12.5
2000,AL,Abortion Rate,15-17,9.3
2005,AL,Abortion Rate,15-17,7
2006,AL,Abortion Rate,15-17,7.1
2007,AL,Abortion Rate,15-17,6.8
2008,AL,Abortion Rate,15-17,6.7
2009,AL,Abortion Rate,15-17,6.4
2010,AL,Abortion Rate,15-17,5.7
2011,AL,Abortion Rate,15-17,5.1
2012,AL,Abortion Rate,15-17,4.2
2013,AL,Abortion Rate,15-17,3
2014,AL,Abortion Rate,15-17,3.2
2015,AL,Abortion Rate,15-17,2.7
2016,AL,Abortion Rate,15-17,2.9
1988,AK,Abortion Rate,15-17,23
1992,AK,Abortion Rate,15-17,19.9
1996,AK,Abortion Rate,15-17,12
2000,AK,Abortion Rate,15-17,7.9
2005,AK,Abortion Rate,15-17,8.4
2006,AK,Abortion Rate,15-17,7.7
2007,AK,Abortion Rate,15-17,9
2008,AK,Abortion Rate,15-17,9
2009,AK,Abortion Rate,15-17,8
2010,AK,Abortion Rate,15-17,9
2011,AK,Abortion Rate,15-17,6.7
2012,AK,Abortion Rate,15-17,4.9
2013,AK,Abortion Rate,15-17,5.8
2014,AK,Abortion Rate,15-17,4
2015,AK,Abortion Rate,15-17,3.4
2016,AK,Abortion Rate,15-17,4.5
1988,AZ,Abortion Rate,15-17,23.7
1992,AZ,Abortion Rate,15-17,19.3
1996,AZ,Abortion Rate,15-17,18.4
2000,AZ,Abortion Rate,15-17,12.9
2005,AZ,Abortion Rate,15-17,9.2
2006,AZ,Abortion Rate,15-17,8.7
2007,AZ,Abortion Rate,15-17,7.5
2008,AZ,Abortion Rate,15-17,8.3
2009,AZ,Abortion Rate,15-17,5.6
2010,AZ,Abortion Rate,15-17,4.6
2011,AZ,Abortion Rate,15-17,4.3
2012,AZ,Abortion Rate,15-17,3.6
2013,AZ,Abortion Rate,15-17,3
2014,AZ,Abortion Rate,15-17,2.6
2015,AZ,Abortion Rate,15-17,2.3
2016,AZ,Abortion Rate,15-17,2.2
1988,AR,Abortion Rate,15-17,19.1
1992,AR,Abortion Rate,15-17,14
1996,AR,Abortion Rate,15-17,10.3
2000,AR,Abortion Rate,15-17,7.8
2005,AR,Abortion Rate,15-17,5.7
2006,AR,Abortion Rate,15-17,6.5
2007,AR,Abortion Rate,15-17,6
2008,AR,Abortion Rate,15-17,6.2
2009,AR,Abortion Rate,15-17,5.9
2010,AR,Abortion Rate,15-17,5.4
2011,AR,Abortion Rate,15-17,4.5
2012,AR,Abortion Rate,15-17,4.6
2013,AR,Abortion Rate,15-17,3.4
2014,AR,Abortion Rate,15-17,2.7
2015,AR,Abortion Rate,15-17,2.2
2016,AR,Abortion Rate,15-17,2.2
1988,CA,Abortion Rate,15-17,50.3
1992,CA,Abortion Rate,15-17,41.7
1996,CA,Abortion Rate,15-17,31.4
2000,CA,Abortion Rate,15-17,21.8
2005,CA,Abortion Rate,15-17,15.4
2006,CA,Abortion Rate,15-17,15.4
2007,CA,Abortion Rate,15-17,15.7
2008,CA,Abortion Rate,15-17,14.4
2009,CA,Abortion Rate,15-17,13.1
2010,CA,Abortion Rate,15-17,11.4
2011,CA,Abortion Rate,15-17,9.8
2012,CA,Abortion Rate,15-17,8.5
2013,CA,Abortion Rate,15-17,7.5
2014,CA,Abortion Rate,15-17,6.7
2015,CA,Abortion Rate,15-17,5.8
2016,CA,Abortion Rate,15-17,5.3
1988,CO,Abortion Rate,15-17,28.1
1992,CO,Abortion Rate,15-17,26.5
1996,CO,Abortion Rate,15-17,20.9
2000,CO,Abortion Rate,15-17,12.5
2005,CO,Abortion Rate,15-17,9.3
2006,CO,Abortion Rate,15-17,9
2007,CO,Abortion Rate,15-17,9.9
2008,CO,Abortion Rate,15-17,9.1
2009,CO,Abortion Rate,15-17,7.5
2010,CO,Abortion Rate,15-17,7.5
2011,CO,Abortion Rate,15-17,6.2
2012,CO,Abortion Rate,15-17,5.3
2013,CO,Abortion Rate,15-17,4.2
2014,CO,Abortion Rate,15-17,3.8
2015,CO,Abortion Rate,15-17,3.6
2016,CO,Abortion Rate,15-17,2.9
1988,CT,Abortion Rate,15-17,42.4
1992,CT,Abortion Rate,15-17,32.9
1996,CT,Abortion Rate,15-17,26.3
2000,CT,Abortion Rate,15-17,21.3
2005,CT,Abortion Rate,15-17,17.7
2006,CT,Abortion Rate,15-17,17.8
2007,CT,Abortion Rate,15-17,17.8
2008,CT,Abortion Rate,15-17,16.3
2009,CT,Abortion Rate,15-17,14
2010,CT,Abortion Rate,15-17,12.2
2011,CT,Abortion Rate,15-17,10.3
2012,CT,Abortion Rate,15-17,8.4
2013,CT,Abortion Rate,15-17,7.4
2014,CT,Abortion Rate,15-17,7
2015,CT,Abortion Rate,15-17,6.4
2016,CT,Abortion Rate,15-17,5.4
1988,DE,Abortion Rate,15-17,38.8
1992,DE,Abortion Rate,15-17,29.9
1996,DE,Abortion Rate,15-17,15.7
2000,DE,Abortion Rate,15-17,23.4
