Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7001","January","2010","2010","°C","3.755","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7001","January","2011","2011","°C","1.312","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7001","January","2012","2012","°C","-0.437","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7001","January","2013","2013","°C","1.366","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7001","January","2014","2014","°C","1.808","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7001","January","2015","2015","°C","1.985","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7001","January","2016","2016","°C","3.561","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7001","January","2017","2017","°C","1.386","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7001","January","2018","2018","°C","2.12","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7001","January","2019","2019","°C","3.187","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7001","January","2020","2020","°C","-0.472","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7002","February","2010","2010","°C","1.373","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7002","February","2011","2011","°C","0.448","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7002","February","2012","2012","°C","-2.994","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7002","February","2013","2013","°C","1.634","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7002","February","2014","2014","°C","-3.111","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7002","February","2015","2015","°C","2.75","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7002","February","2016","2016","°C","2.39","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7002","February","2017","2017","°C","-0.077","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7002","February","2018","2018","°C","2.82","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7002","February","2019","2019","°C","0.334","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7002","February","2020","2020","°C","2.668","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7003","March","2010","2010","°C","3.552","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7003","March","2011","2011","°C","0.877","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7003","March","2012","2012","°C","-0.309","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7003","March","2013","2013","°C","2.379","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7003","March","2014","2014","°C","0.026","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7003","March","2015","2015","°C","-0.5","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7003","March","2016","2016","°C","2.49","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7003","March","2017","2017","°C","0.975","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7003","March","2018","2018","°C","4.536","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7003","March","2019","2019","°C","0.471","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7003","March","2020","2020","°C","0.731","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7004","April","2010","2010","°C","2.763","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7004","April","2011","2011","°C","1.851","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7004","April","2012","2012","°C","1.645","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7004","April","2013","2013","°C","0.085","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7004","April","2014","2014","°C","0.718","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7004","April","2015","2015","°C","1.75","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7004","April","2016","2016","°C","1.047","Fc","Calculated data"
"ET","Temperature change","2","Afghanistan","7271","Temperature change","7004","April","2017","2017","°C","1.378","Fc","Calculated data"
