Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,1961,1961,1000 ha,35730,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,1962,1962,1000 ha,35840,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,1963,1963,1000 ha,35880,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,1964,1964,1000 ha,36355,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,1965,1965,1000 ha,37235,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,1966,1966,1000 ha,37415,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,1967,1967,1000 ha,37470,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,1968,1968,1000 ha,37170,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,1969,1969,1000 ha,35700,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,1970,1970,1000 ha,35865,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,1971,1971,1000 ha,35485,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,1972,1972,1000 ha,35505,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,1973,1973,1000 ha,36400,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,1974,1974,1000 ha,35740,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,1975,1975,1000 ha,36035,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,1976,1976,1000 ha,35712,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,1977,1977,1000 ha,35913,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,1978,1978,1000 ha,36417,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,1979,1979,1000 ha,36337,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,1980,1980,1000 ha,37416,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,1981,1981,1000 ha,36504,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,1982,1982,1000 ha,38509,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,1983,1983,1000 ha,36409,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,1984,1984,1000 ha,37500,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,1985,1985,1000 ha,37118,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,1986,1986,1000 ha,35571,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,1987,1987,1000 ha,36671,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,1988,1988,1000 ha,35347,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,1989,1989,1000 ha,35860,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,1990,1990,1000 ha,35206,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6670,Other land,1990,1990,1000 ha,36895.21,Fc,Calculated data
RL,Land Use,165,Pakistan,5110,Area,6670,Other land,1991,1991,1000 ha,36878.763,Fc,Calculated data
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,1991,1991,1000 ha,35270,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,1992,1992,1000 ha,35380,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6670,Other land,1992,1992,1000 ha,36816.316,Fc,Calculated data
RL,Land Use,165,Pakistan,5110,Area,6670,Other land,1993,1993,1000 ha,36493.869,Fc,Calculated data
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,1993,1993,1000 ha,35750,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,1994,1994,1000 ha,35790,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6670,Other land,1994,1994,1000 ha,36501.422,Fc,Calculated data
RL,Land Use,165,Pakistan,5110,Area,6670,Other land,1995,1995,1000 ha,36312.975,Fc,Calculated data
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,1995,1995,1000 ha,36026,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,1996,1996,1000 ha,36172,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6670,Other land,1996,1996,1000 ha,36214.528,Fc,Calculated data
RL,Land Use,165,Pakistan,5110,Area,6670,Other land,1997,1997,1000 ha,35765.081,Fc,Calculated data
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,1997,1997,1000 ha,36669,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,1998,1998,1000 ha,36760,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6670,Other land,1998,1998,1000 ha,35721.634,Fc,Calculated data
RL,Land Use,165,Pakistan,5110,Area,6670,Other land,1999,1999,1000 ha,35773.187,Fc,Calculated data
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,1999,1999,1000 ha,36756,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,2000,2000,1000 ha,36698,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6670,Other land,2000,2000,1000 ha,35878.74,Fc,Calculated data
RL,Land Use,165,Pakistan,5110,Area,6670,Other land,2001,2001,1000 ha,35646.493,Fc,Calculated data
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,2001,2001,1000 ha,36972,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,2002,2002,1000 ha,36884,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6670,Other land,2002,2002,1000 ha,35776.246,Fc,Calculated data
RL,Land Use,165,Pakistan,5110,Area,6670,Other land,2003,2003,1000 ha,35859.999,Fc,Calculated data
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,2003,2003,1000 ha,36842,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,2004,2004,1000 ha,36045,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6670,Other land,2004,2004,1000 ha,36698.752,Fc,Calculated data
RL,Land Use,165,Pakistan,5110,Area,6670,Other land,2005,2005,1000 ha,36820.505,Fc,Calculated data
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,2005,2005,1000 ha,35965,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,2006,2006,1000 ha,36135,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6670,Other land,2006,2006,1000 ha,36692.258,Fc,Calculated data
RL,Land Use,165,Pakistan,5110,Area,6670,Other land,2007,2007,1000 ha,36856.011,Fc,Calculated data
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,2007,2007,1000 ha,36013,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,2008,2008,1000 ha,35313,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6670,Other land,2008,2008,1000 ha,37597.764,Fc,Calculated data
RL,Land Use,165,Pakistan,5110,Area,6670,Other land,2009,2009,1000 ha,37675.517,Fc,Calculated data
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,2009,2009,1000 ha,35277,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,2010,2010,1000 ha,35242,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6670,Other land,2010,2010,1000 ha,37752.27,Fc,Calculated data
RL,Land Use,165,Pakistan,5110,Area,6670,Other land,2011,2011,1000 ha,37090.496,Fc,Calculated data
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,2011,2011,1000 ha,35936,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,2012,2012,1000 ha,36063,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6670,Other land,2012,2012,1000 ha,36995.722,Fc,Calculated data
RL,Land Use,165,Pakistan,5110,Area,6670,Other land,2013,2013,1000 ha,36810.948,Fc,Calculated data
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,2013,2013,1000 ha,36280,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,2014,2014,1000 ha,36252,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6670,Other land,2014,2014,1000 ha,36871.174,Fc,Calculated data
RL,Land Use,165,Pakistan,5110,Area,6670,Other land,2015,2015,1000 ha,36953.4,Fc,Calculated data
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,2015,2015,1000 ha,36202,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,2016,2016,1000 ha,36794,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6670,Other land,2016,2016,1000 ha,36425.76,Fc,Calculated data
RL,Land Use,165,Pakistan,5110,Area,6670,Other land,2017,2017,1000 ha,36235.08,Fc,Calculated data
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,2017,2017,1000 ha,37003,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,2018,2018,1000 ha,36300,Fm,Manual Estimation
RL,Land Use,165,Pakistan,5110,Area,6670,Other land,2018,2018,1000 ha,36979.42,Fc,Calculated data
RL,Land Use,165,Pakistan,5110,Area,6670,Other land,2019,2019,1000 ha,37020.76,Fc,Calculated data
RL,Land Use,165,Pakistan,5110,Area,6610,Agricultural land,2019,2019,1000 ha,36300,Fm,Manual Estimation
RL,Land Use,100,India,5110,Area,6610,Agricultural land,1961,1961,1000 ha,174952,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,1962,1962,1000 ha,176482,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,1963,1963,1000 ha,176154,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,1964,1964,1000 ha,176712,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,1965,1965,1000 ha,177177,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,1966,1966,1000 ha,177530,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,1967,1967,1000 ha,177807,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,1968,1968,1000 ha,178364,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,1969,1969,1000 ha,177792,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,1970,1970,1000 ha,178052,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,1971,1971,1000 ha,177817,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,1972,1972,1000 ha,177946,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,1973,1973,1000 ha,178751,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,1974,1974,1000 ha,179282,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,1975,1975,1000 ha,179694,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,1976,1976,1000 ha,179649,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,1977,1977,1000 ha,179591,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,1978,1978,1000 ha,180592,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,1979,1979,1000 ha,180580,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,1980,1980,1000 ha,180272,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,1981,1981,1000 ha,180401,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,1982,1982,1000 ha,180771,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,1983,1983,1000 ha,180462,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,1984,1984,1000 ha,181452,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,1985,1985,1000 ha,181340,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,1986,1986,1000 ha,181192,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,1987,1987,1000 ha,181543,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,1988,1988,1000 ha,181091,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,1989,1989,1000 ha,181501,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,1990,1990,1000 ha,181413,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6670,Other land,1990,1990,1000 ha,51968,Fc,Calculated data
RL,Land Use,100,India,5110,Area,6670,Other land,1991,1991,1000 ha,51429.7,Fc,Calculated data
RL,Land Use,100,India,5110,Area,6610,Agricultural land,1991,1991,1000 ha,181586,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,1992,1992,1000 ha,181305,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6670,Other land,1992,1992,1000 ha,51345.4,Fc,Calculated data
RL,Land Use,100,India,5110,Area,6670,Other land,1993,1993,1000 ha,50903.1,Fc,Calculated data
RL,Land Use,100,India,5110,Area,6610,Agricultural land,1993,1993,1000 ha,181382,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,1994,1994,1000 ha,181291,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6670,Other land,1994,1994,1000 ha,50628.8,Fc,Calculated data
RL,Land Use,100,India,5110,Area,6670,Other land,1995,1995,1000 ha,50609.5,Fc,Calculated data
RL,Land Use,100,India,5110,Area,6610,Agricultural land,1995,1995,1000 ha,180945,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,1996,1996,1000 ha,180589,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6670,Other land,1996,1996,1000 ha,50600.2,Fc,Calculated data
RL,Land Use,100,India,5110,Area,6670,Other land,1997,1997,1000 ha,49842.9,Fc,Calculated data
RL,Land Use,100,India,5110,Area,6610,Agricultural land,1997,1997,1000 ha,180981,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,1998,1998,1000 ha,180874,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6670,Other land,1998,1998,1000 ha,49584.6,Fc,Calculated data
RL,Land Use,100,India,5110,Area,6670,Other land,1999,1999,1000 ha,49072.3,Fc,Calculated data
RL,Land Use,100,India,5110,Area,6610,Agricultural land,1999,1999,1000 ha,181021,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,2000,2000,1000 ha,180975,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6670,Other land,2000,2000,1000 ha,48753,Fc,Calculated data
RL,Land Use,100,India,5110,Area,6670,Other land,2001,2001,1000 ha,49050.5,Fc,Calculated data
RL,Land Use,100,India,5110,Area,6610,Agricultural land,2001,2001,1000 ha,180487,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,2002,2002,1000 ha,180560,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6670,Other land,2002,2002,1000 ha,48787,Fc,Calculated data
RL,Land Use,100,India,5110,Area,6670,Other land,2003,2003,1000 ha,48907.5,Fc,Calculated data
RL,Land Use,100,India,5110,Area,6610,Agricultural land,2003,2003,1000 ha,180249,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6610,Agricultural land,2004,2004,1000 ha,180375,W,Data reported on country official publications or web sites (Official) or trade country files
RL,Land Use,100,India,5110,Area,6670,Other land,2004,2004,1000 ha,48591,Fc,Calculated data
RL,Land Use,100,India,5110,Area,6670,Other land,2005,2005,1000 ha,48649.5,Fc,Calculated data
