Age, Work_Class, Education, Scale, Marital-Status, Occupation, Relationship,Face,Gender, Hours-Per-Week, Country,Income
39, State-gov, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Male,40, USA, <=50K
50, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,13, USA, <=50K
38, Private, HS-grad,9, Divorced, Handlers-cleaners, Not-in-family, White, Male,40, USA, <=50K
53, Private, 11th,7, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,40, USA, <=50K
28, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, Black, Female,40, Cuba, <=50K
37, Private, Masters,14, Married-civ-spouse, Exec-managerial, Wife, White, Female,40, USA, <=50K
49, Private, 9th,5, Married-spouse-absent, Other-service, Not-in-family, Black, Female,16, Jamaica, <=50K
52, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,45, USA, >50K
31, Private, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,50, USA, >50K
42, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, USA, >50K
37, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male,80, USA, >50K
30, State-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,40, India, >50K
23, Private, Bachelors,13, Never-married, Adm-clerical, Own-child, White, Female,30, USA, <=50K
32, Private, Assoc-acdm,12, Never-married, Sales, Not-in-family, Black, Male,50, USA, <=50K
40, Private, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,40, Cuba, >50K
34, Private, 7th-8th,4, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,45, Mexico, <=50K
25, Self-emp-not-inc, HS-grad,9, Never-married, Farming-fishing, Own-child, White, Male,35, USA, <=50K
32, Private, HS-grad,9, Never-married, Machine-op-inspct, Unmarried, White, Male,40, USA, <=50K
38, Private, 11th,7, Married-civ-spouse, Sales, Husband, White, Male,50, USA, <=50K
43, Self-emp-not-inc, Masters,14, Divorced, Exec-managerial, Unmarried, White, Female,45, USA, >50K
40, Private, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,60, USA, >50K
54, Private, HS-grad,9, Separated, Other-service, Unmarried, Black, Female,20, USA, <=50K
35, Federal-gov, 9th,5, Married-civ-spouse, Farming-fishing, Husband, Black, Male,40, USA, <=50K
43, Private, 11th,7, Married-civ-spouse, Transport-moving, Husband, White, Male,40, USA, <=50K
59, Private, HS-grad,9, Divorced, Tech-support, Unmarried, White, Female,40, USA, <=50K
56, Local-gov, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,40, USA, >50K
19, Private, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,40, USA, <=50K
54, Local-gov, Some-college,10, Married-civ-spouse, ?, Husband, Asian-Pac-Islander, Male,60, South, >50K
39, Private, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Male,80, USA, <=50K
49, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40, USA, <=50K
23, Local-gov, Assoc-acdm,12, Never-married, Protective-serv, Not-in-family, White, Male,52, USA, <=50K
20, Private, Some-college,10, Never-married, Sales, Own-child, Black, Male,44, USA, <=50K
45, Private, Bachelors,13, Divorced, Exec-managerial, Own-child, White, Male,40, USA, <=50K
30, Federal-gov, Some-college,10, Married-civ-spouse, Adm-clerical, Own-child, White, Male,40, USA, <=50K
22, State-gov, Some-college,10, Married-civ-spouse, Other-service, Husband, Black, Male,15, USA, <=50K
48, Private, 11th,7, Never-married, Machine-op-inspct, Unmarried, White, Male,40, Puerto-Rico, <=50K
21, Private, Some-college,10, Never-married, Machine-op-inspct, Own-child, White, Male,40, USA, <=50K
19, Private, HS-grad,9, Married-AF-spouse, Adm-clerical, Wife, White, Female,25, USA, <=50K
31, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,38, South, >50K
48, Self-emp-not-inc, Assoc-acdm,12, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, USA, <=50K
31, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,43, USA, <=50K
53, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, USA, <=50K
24, Private, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,50, USA, <=50K
49, Private, HS-grad,9, Separated, Adm-clerical, Unmarried, White, Female,40, USA, <=50K
25, Private, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,35, USA, <=50K
57, Federal-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Black, Male,40, USA, >50K
53, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,38, USA, <=50K
44, Private, Masters,14, Divorced, Exec-managerial, Unmarried, White, Female,40, USA, <=50K
41, State-gov, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,40, USA, <=50K
29, Private, Assoc-voc,11, Never-married, Prof-specialty, Not-in-family, White, Male,43, USA, <=50K
25, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, Other, Female,40, USA, <=50K
18, Private, HS-grad,9, Never-married, Other-service, Own-child, White, Female,30, South, <=50K
47, Private, Prof-school,15, Married-civ-spouse, Prof-specialty, Wife, White, Female,60, Honduras, >50K
50, Federal-gov, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Male,55, USA, >50K
47, Self-emp-inc, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Male,60, USA, <=50K
43, Private, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,40, USA, >50K
46, Private, 5th-6th,3, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, Mexico, <=50K
35, Private, Assoc-voc,11, Married-civ-spouse, Other-service, Husband, White, Male,40, Puerto-Rico, <=50K
41, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,48, USA, <=50K
30, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, USA, <=50K
30, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,40, USA, <=50K
32, Private, 7th-8th,4, Married-spouse-absent, ?, Not-in-family, White, Male,40, South, <=50K
48, Private, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,40, USA, <=50K
42, Private, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,45, USA, >50K
29, Private, Some-college,10, Divorced, Tech-support, Not-in-family, White, Male,58, USA, <=50K
36, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40, USA, <=50K
28, Private, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,40, USA, <=50K
53, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,40, USA, >50K
49, Self-emp-inc, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,50, USA, >50K
25, Self-emp-not-inc, Some-college,10, Never-married, ?, Own-child, White, Male,40, USA, <=50K
19, Private, Some-college,10, Never-married, Prof-specialty, Own-child, White, Male,32, USA, <=50K
31, Private, Bachelors,13, Separated, Sales, Own-child, Black, Female,40, USA, <=50K
29, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,70, USA, >50K
23, Private, Some-college,10, Never-married, Machine-op-inspct, Not-in-family, White, Male,40, USA, <=50K
79, Private, Some-college,10, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,20, USA, <=50K
27, Private, HS-grad,9, Never-married, Other-service, Own-child, White, Male,40, Mexico, <=50K
40, Private, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, White, Male,40, USA, <=50K
67,Public, 10th,6, Married-civ-spouse, ?, Husband, White, Male,2, USA, <=50K
18, Private, 11th,7, Never-married, Other-service, Own-child, White, Female,22, USA, <=50K
31, Local-gov, 7th-8th,4, Married-civ-spouse, Farming-fishing, Husband, White, Male,40, USA, <=50K
18, Private, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,30, USA, <=50K
52, Private, Bachelors,13, Married-civ-spouse, Other-service, Husband, White, Male,40, Cuba, <=50K
46, Private, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,40, USA, <=50K
59, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,48, USA, <=50K
44, Private, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Female,40, USA, >50K
53, Private, HS-grad,9, Divorced, Sales, Own-child, White, Female,35, USA, <=50K
49, Local-gov, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,40, USA, >50K
33, Private, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,50, USA, <=50K
30, Private, 9th,5, Never-married, Sales, Not-in-family, White, Male,40, USA, <=50K
43, Federal-gov, Doctorate,16, Never-married, Prof-specialty, Not-in-family, White, Female,50, USA, >50K
57, Private, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, USA, <=50K
37, Private, Some-college,10, Divorced, Craft-repair, Unmarried, White, Female,40, USA, <=50K
28, Private, Some-college,10, Divorced, Machine-op-inspct, Unmarried, Black, Female,25, USA, <=50K
30, Private, HS-grad,9, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Female,35, USA, <=50K
34, Local-gov, Bachelors,13, Married-civ-spouse, Protective-serv, Husband, White, Male,40, USA, >50K
29, Local-gov, Some-college,10, Never-married, Handlers-cleaners, Not-in-family, White, Male,50, USA, <=50K
48, Self-emp-not-inc, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,60, USA, >50K
37, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,48, USA, >50K
48, Private, Assoc-acdm,12, Divorced, Exec-managerial, Unmarried, White, Female,40, England, <=50K
32, Federal-gov, HS-grad,9, Never-married, Other-service, Own-child, Black, Male,40, USA, <=50K
76, Private, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, USA, >50K
44, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,60, USA, >50K
47, Self-emp-not-inc, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,50, USA, <=50K
20, Private, Some-college,10, Never-married, Tech-support, Own-child, White, Female,40, USA, <=50K
29, Private, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,40, USA, <=50K
32, Self-emp-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40, USA, >50K
17, Local-gov, 10th,6, Never-married, ?, Own-child, White, Female,32, USA, <=50K
30, Private, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,40, USA, <=50K
31, Local-gov, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,40, USA, <=50K
42, Private, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,40, USA, <=50K
24, Private, Bachelors,13, Never-married, Sales, Other-relative, White, Male,40, USA, <=50K
38, Private, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, USA, >50K
56, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,50, Canada, >50K
28, Private, Some-college,10, Married-civ-spouse, Sales, Wife, White, Female,25, USA, <=50K
36, Private, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Female,40, USA, <=50K
53, Private, 9th,5, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,50, USA, <=50K
56, Self-emp-inc, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,50, USA, <=50K
49, Local-gov, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, Black, Male,40, USA, >50K
55, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,56, USA, <=50K
22, Private, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,41, USA, <=50K
21, Private, Some-college,10, Never-married, Other-service, Own-child, White, Female,40, USA, <=50K
