Company_Name,Coding,Year,ESG Score,Return on Equity,Return on Asset,Earning Per Share,Price/Sales Per Share Ratio,Earning before Interest & Taxes,DIVIDEND_YIELD
HOME DEPOT,1,2008,65.85,12.74,6.24,1.34,0.54,4.214,3.54
HOME DEPOT,1,2009,53.06,14.32,7.56,1.57,0.74,4.658,4.11
HOME DEPOT,1,2010,59.78,17.44,9.1,2.01,0.85,5.803,3.18
HOME DEPOT,1,2011,60.45,21.11,10.61,2.47,0.94,6.674,2.63
HOME DEPOT,1,2012,68.09,25.42,12.13,3.001,1.25,7.853,2.67
HOME DEPOT,1,2013,43.23,35.55,14.34,3.747,1.5,9.178,1.83
HOME DEPOT,1,2014,45.9,58.09,17.13,4.714,1.7,10.806,1.93
HOME DEPOT,1,2015,38.44,89.64,18.46,5.463,1.92,11.94,1.83
HOME DEPOT,1,2016,80.7,149.44,20.12,6.448,1.75,13.463,1.97
HOME DEPOT,1,2017,66.39,298.25,21.37,7.396,2.22,14.755,2.04
HOME DEPOT,1,2018,47.35,349.09,27.07,9.655,1.82,15.607,1.81
HOME DEPOT,1,2019,45.62,458.88,25.63,10.245,2.17,15.916,2.3
HOME DEPOT,1,2020,47.51,14061.2,22.87,11.935,2.17,18.325,2.44
WALMART,2,2008,43.14,20.63,9.07,3.34,0.55,23.082,1.85
WALMART,2,2009,41.74,21.08,9.4,3.7,0.51,24.131,1.84
WALMART,2,2010,40.14,23.58,10.17,4.47,0.47,25.743,2.01
WALMART,2,2011,36.74,22.45,9.22,4.52,0.46,26.72,2.21
WALMART,2,2012,42.84,23.02,9.31,5.016,0.49,27.988,2.45
WALMART,2,2013,40.19,21,8.6,4.88,0.54,26.991,2.33
WALMART,2,2014,40.27,20.76,8.8,5.046,0.57,27.26,2.41
WALMART,2,2015,40.73,18.15,8.11,4.568,0.41,24.186,2.22
WALMART,2,2016,77.85,17.23,7.62,4.384,0.44,22.864,3.11
WALMART,2,2017,39.61,12.67,5.65,3.21,0.59,17.453,2.98
WALMART,2,2018,41.6,8.87,4.02,2.415,0.53,13.806,2.02
WALMART,2,2019,41.17,20.22,7.43,5.189,0.65,22.715,2.19
WALMART,2,2020,41.88,17.37,6.27,4.745,0.73,22.879,1.82
EXXON MOBIL,3,2008,48.2,38.53,19.56,8.61,0.98,72.989,1.54
EXXON MOBIL,3,2009,50.11,17.25,8.59,3.98,1.2,28.182,2.13
EXXON MOBIL,3,2010,46,23.67,11.56,6.21,1.05,42.541,2.41
EXXON MOBIL,3,2011,47.2,27.26,13.17,8.42,0.95,58.215,2.26
EXXON MOBIL,3,2012,45.9,28.03,13.56,9.697,0.95,64.043,2.21
EXXON MOBIL,3,2013,48.47,19.17,9.58,7.373,1.15,43.793,2.55
EXXON MOBIL,3,2014,50.96,18.67,9.39,7.595,1.09,38.593,2.54
EXXON MOBIL,3,2015,54.44,9.36,4.77,3.849,1.38,14.633,3.08
EXXON MOBIL,3,2016,40,4.64,2.44,1.877,1.91,3.616,3.69
EXXON MOBIL,3,2017,41.34,11.1,5.92,3.235,1.5,13.895,3.47
EXXON MOBIL,3,2018,40.99,10.98,6.17,4.812,1.04,24.364,3.52
EXXON MOBIL,3,2019,38.23,7.48,4.26,3.185,1.17,15.578,4.58
EXXON MOBIL,3,2020,38.55,-12.87,-6.15,-5.257,0.99,-29.288,5.03
WALT DISNEY,4,2008,42.44,14.04,7.92,2.1,1.17,7.533,1.15
WALT DISNEY,4,2009,45.53,10.01,5.87,1.76,1.67,5.669,1.68
WALT DISNEY,4,2010,34.12,11.12,6.44,2.26,1.92,6.643,1.13
WALT DISNEY,4,2011,36.38,12.84,7.2,2.65,1.75,7.893,1.02
WALT DISNEY,4,2012,40.42,14.73,8.15,3.092,2.14,9.105,1.56
WALT DISNEY,4,2013,31.85,14.41,8.15,3.645,3.08,9.281,1.48
WALT DISNEY,4,2014,31.92,16.6,9.3,4.506,3.39,11.686,1.16
WALT DISNEY,4,2015,44.68,18.73,9.93,5.367,3.42,13.319,1.22
WALT DISNEY,4,2016,47.84,21.39,10.68,5.549,3.07,14.296,1.43
WALT DISNEY,4,2017,55.11,21.23,9.91,5.991,3.08,13.975,1.44
WALT DISNEY,4,2018,76.24,27.97,13.49,7.029,2.78,15.513,1.49
WALT DISNEY,4,2019,43.46,16.06,8.2,6.126,3.46,14.697,1.57
WALT DISNEY,4,2020,39.47,-3.32,-0.79,-2.738,5.01,-0.747,1.21
COCA COLA,5,2008,44.67,27.51,14.57,1.245,3.31,7.151,2.12
COCA COLA,5,2009,47.11,30.15,15.83,1.465,4.28,8.506,3.57
COCA COLA,5,2010,45.41,42.32,20.11,2.53,4.36,13.826,2.87
COCA COLA,5,2011,41.65,27.37,11.59,1.845,3.48,11.163,2.79
COCA COLA,5,2012,48.71,28,11.24,1.967,3.46,11.422,2.81
COCA COLA,5,2013,40.56,26.03,10.16,1.904,3.98,11.379,2.76
COCA COLA,5,2014,38.99,22.36,8.18,1.595,4.08,9.067,2.82
COCA COLA,5,2015,50.73,26.31,8.68,1.669,4.28,9.97,2.87
COCA COLA,5,2016,76.88,26.85,7.88,1.495,4.32,8.011,3.15
COCA COLA,5,2017,39.34,6.22,2.02,1.123,5.6,6.47,3.42
COCA COLA,5,2018,36.49,37.79,8.51,1.498,6.39,8.275,3.21
COCA COLA,5,2019,63.02,49.61,11.75,2.068,6.41,10.682,3.31
COCA COLA,5,2020,45.52,40.48,10.52,1.792,7.18,10.208,2.86
CHEVRON,6,2008,40.24,29.23,15.62,11.67,0.59,37.691,2.55
CHEVRON,6,2009,44.6,11.74,6.53,5.24,0.97,15.24,3.73
CHEVRON,6,2010,37.17,19.31,10.97,9.48,0.97,26.468,3.42
CHEVRON,6,2011,41.39,23.75,13.72,13.44,0.9,40.271,3.1
CHEVRON,6,2012,39.05,20.3,11.94,13.32,0.95,39.443,3.05
CHEVRON,6,2013,37.05,15,8.91,11.089,1.14,28.378,3.19
CHEVRON,6,2014,38.04,12.65,7.5,10.138,1.11,24.104,3.35
CHEVRON,6,2015,73.6,2.98,1.75,2.457,1.3,0.158,4.12
CHEVRON,6,2016,43.77,-0.33,-0.14,-0.265,2,-4.62,5.01
CHEVRON,6,2017,70.53,6.26,3.72,3.78,1.76,5.09,3.71
CHEVRON,6,2018,49.57,9.8,6.18,7.731,1.31,14.996,3.23
CHEVRON,6,2019,65.79,1.96,1.47,1.545,1.63,2.366,4.01
CHEVRON,6,2020,63.95,-4.02,-2.13,-2.964,1.67,-6.284,4.09
ABBOTT LABORATORIES,7,2008,38.61,27.69,13.22,3.03,2.82,6.265763,2.17
