Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2000,2000,%,87.2,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2000,2000,%,29.6,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2001,2001,%,87.4,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2001,2001,%,31.7,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2002,2002,%,87.6,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2002,2002,%,33.7,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2003,2003,%,87.8,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2003,2003,%,35.7,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2004,2004,%,88,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2004,2004,%,37.8,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2005,2005,%,88,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2005,2005,%,39.8,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2006,2006,%,88.1,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2006,2006,%,41.8,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2007,2007,%,88.3,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2007,2007,%,43.8,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2008,2008,%,88.4,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2008,2008,%,45.8,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2009,2009,%,88.6,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2009,2009,%,47.7,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2010,2010,%,88.7,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2010,2010,%,49.7,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2011,2011,%,88.9,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2011,2011,%,51.6,X,International reliable sources,
