Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2011,2011,%,88.9,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2011,2011,%,51.6,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2012,2012,%,89,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2012,2012,%,53.5,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2013,2013,%,89.2,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2013,2013,%,55.4,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2014,2014,%,89.3,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2014,2014,%,57.3,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2015,2015,%,89.5,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2015,2015,%,59.2,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2016,2016,%,89.6,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2016,2016,%,61.1,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2017,2017,%,89.7,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21048,Percentage of population using at least basic sanitation services (percent),2017,2017,%,62.9,X,International reliable sources,
FS,Suite of Food Security Indicators,165,Pakistan,6121,Value,21047,Percentage of population using at least basic drinking water services (percent),2018,2018,%,89.9,X,International reliable sources,
